"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"26",부산광역시,"26320",부산광역시 북구,"2108052 ",구포2동,"2013","2013",-11.89,5,-9.39,2,75.7
"26",부산광역시,"26320",부산광역시 북구,"2108059 ",만덕1동,"2014","2014",-30.33,4,-29.08,2,86.11
"45",전라북도,"45720",전라북도 진안군,"3532031 ",용담면,"2017","2017",-82.79,1,-19.64,2,46.15
"45",전라북도,"45720",전라북도 진안군,"3532036 ",성수면,"2019","2019",-68.39,3,10.61,1,55.28
"45",전라북도,"45720",전라북도 진안군,"3532037 ",마령면,"2016","2016",-66.41,5,-7.32,1,59.16
"45",전라북도,"45720",전라북도 진안군,"3532034 ",상전면,"2014","2014",-89.46,1,-27.78,2,7.63
"45",전라북도,"45720",전라북도 진안군,"3532011 ",진안읍,"2014","2014",-49.63,3,-7.4,2,50.75
"48",경상남도,"48110",경상남도 창원시,"3811459 ",합성2동,"2017","2017",-55.25,5,-18.36,3,88.07
"48",경상남도,"48110",경상남도 창원시,"3811451 ",회원1동,"2017","2017",-53.09,3,-2.59,1,92.43
"48",경상남도,"48110",경상남도 창원시,"3811353 ",월영동,"2017","2017",-17.29,4,2.58,1,76.22
"48",경상남도,"48110",경상남도 창원시,"3811351 ",현동,"2017","2017",-17.08,0,45.03,1,39.11
"48",경상남도,"48110",경상남도 창원시,"3811152 ",팔룡동,"2017","2017",-14.58,5,2.82,0,62.17
"48",경상남도,"48110",경상남도 창원시,"3811561 ",덕산동,"2016","2016",8.23,2,2.19,0,59.13
"48",경상남도,"48110",경상남도 창원시,"3811560 ",자은동,"2016","2016",19.88,2,6.88,0,55.46
"48",경상남도,"48110",경상남도 창원시,"3811364 ",합포동,"2016","2016",-36.85,4,-6.24,2,75.84
"48",경상남도,"48110",경상남도 창원시,"3811358 ",자산동,"2016","2016",-31,5,-6.03,1,73.03
"48",경상남도,"48110",경상남도 창원시,"3811355 ",반월동,"2016","2016",-38.49,4,-3.16,2,70.63
"48",경상남도,"48110",경상남도 창원시,"3811352 ",가포동,"2016","2016",-68.18,5,-33.33,2,45.75
"48",경상남도,"48110",경상남도 창원시,"3811255 ",가음정동,"2016","2016",-30.96,5,-5.69,1,53.62
"48",경상남도,"48110",경상남도 창원시,"3811354 ",문화동,"2019","2019",-22.57,3,-0.32,2,73.83
"48",경상남도,"48110",경상남도 창원시,"3811353 ",월영동,"2019","2019",-17.29,2,1.03,1,75.65
"48",경상남도,"48110",경상남도 창원시,"3811351 ",현동,"2019","2019",-17.08,0,22.56,0,37.2
"48",경상남도,"48110",경상남도 창원시,"3811333 ",진북면,"2019","2019",-30.7,5,7.77,0,35.81
"48",경상남도,"48110",경상남도 창원시,"3811332 ",진동면,"2019","2019",25.6,2,2.29,0,40
"48",경상남도,"48110",경상남도 창원시,"3811251 ",반송동,"2019","2019",-6.66,5,-0.87,1,67.64
"48",경상남도,"48110",경상남도 창원시,"3811564 ",웅동1동,"2014","2014",,,2.65,1,43.92
"48",경상남도,"48110",경상남도 창원시,"3811558 ",석동,"2014","2014",,,2.71,0,14.12
"48",경상남도,"48110",경상남도 창원시,"3811462 ",봉암동,"2014","2014",,,-2.95,1,60.18
"48",경상남도,"48110",경상남도 창원시,"3811363 ",오동동,"2014","2014",,,-8.13,2,63.8
"48",경상남도,"48110",경상남도 창원시,"3811554 ",여좌동,"2013","2013",-20.24,3,-22.99,2,78.99
"48",경상남도,"48110",경상남도 창원시,"3811551 ",중앙동,"2013","2013",-32.1,2,-4.76,0,56.12
"48",경상남도,"48110",경상남도 창원시,"3811132 ",대산면,"2014","2014",,,-5.19,1,55.62
"11",서울특별시,"11740",서울특별시 강동구,"1125055 ",고덕1동,"2017","2017",-39.54,4,4.55,2,91.14
"27",대구광역시,"27260",대구광역시 수성구,"2206069 ",범물1동,"2018","2018",-32.76,5,-3.95,2,85.38
"27",대구광역시,"27260",대구광역시 수성구,"2206065 ",파동,"2017","2017",-26.19,2,-7.22,2,83.23
"27",대구광역시,"27260",대구광역시 수성구,"2206060 ",수성4가동,"2017","2017",-6.32,5,1.3,1,81.93
"27",대구광역시,"27260",대구광역시 수성구,"2206069 ",범물1동,"2019","2019",-32.76,5,-1.67,2,86.47
"27",대구광역시,"27260",대구광역시 수성구,"2206058 ",수성1가동,"2019","2019",-13.61,3,0.1,1,82.79
"27",대구광역시,"27260",대구광역시 수성구,"2206051 ",범어1동,"2019","2019",-32.56,3,-2.76,2,71.46
"27",대구광역시,"27260",대구광역시 수성구,"2206052 ",범어2동,"2016","2016",-13.44,2,7.06,1,80.18
"27",대구광역시,"27260",대구광역시 수성구,"2206070 ",범물2동,"2014","2014",-14.41,5,4.23,1,61.23
"27",대구광역시,"27260",대구광역시 수성구,"2206067 ",지산1동,"2014","2014",-19.09,5,0.82,1,67.05
"27",대구광역시,"27260",대구광역시 수성구,"2206065 ",파동,"2014","2014",-31.87,3,-19.22,2,78.7
